T [°C],P [mbar]
-214.6,10
-214.4,11
-214.3,12
-214.2,13
-213.9,14
-213.7,15
-213.5,16
-213.2,17
-212.9,18
-212.7,20
-212.3,22
-212,23
-211.6,25
-211.3,27
-211,29
-210.7,30
-210.3,33
-209.7,37
-209.2,40
-208.7,44
-208.2,49
-207.6,53
-207.1,58
-206.7,62
-206,69
-205.5,75
-205.1,80
-204.5,88
-204,94
-203.7,100
-203,111
-202.5,117
-202,120
-201.7,120
-201.4,121
-201.5,122
-200.9,122
-200.4,122
-198.5,123
-197.5,123
-196.8,123
-196,123
-194.7,124
-194.1,124
-209.2,137
-208.8,154
-208.5,164
-208.3,169
-208.2,172
-208.1,175
-208.3,200
-206.8,220
-206.1,240
-205.5,261
-205,280
-204.5,300
-204,320
-203.8,340
-203.8,368
-203.3,392
-202.7,420
-202.1,444
-201.6,472
-201.2,495
-200.9,520
-200.6,550
-200.1,575
-200,600
-199.3,640
-199.4,680
-199,720
-198.6,750
-197.8,785
-197.4,820
-197.1,850
-196.7,991
-196.5,910
-196.3,940
-196,970
-195.7,1001
