T [°C],P [mbar]
-218.9,8
-218.7,10
-218.5,11
-218.2,12
-218,13
-217.8,14
-217.3,18
-216.8,19
-216.5,20
-216.3,21
-215.8,24
-215.6,28
-215.2,29
-214.9,30
-214.4,34
-214.1,38
-213.8,39
-213.5,41
-213.2,44
-213,47
-212.8,49
-212.4,52
-212.1,56
-211.8,59
-211.5,62
-211.1,69
-210.9,71
-210.7,74
-210.5,77
-210.3,80
-209.7,87
-209.5,93
-208.9,104
-208.6,110
-208.3,117
-208,122
-208,124
-207.9,124
-207.6,124
-207.4,125
-207.4,125
-208,125
-207.2,125
-208.9,125
-209.1,125
-208.9,125
-210.2,125
-210.7,125
-211.8,125
-211.7,126
-210.4,150
-212.4,192
-211.8,221
-210.3,260
-206.2,300
-205.8,320
-205.5,340
-205.3,355
-205,374
-204.8,395
-204.5,420
-204.4,440
-204.2,455
-203.9,469
-203.7,492
-203.6,510
-203.4,524
-203.3,543
-203.1,560
-202.9,580
-202.7,600
-202.6,618
-202.5,636
-202.2,666
-202.2,680
-202,700
-201.9,711
-201.8,730
-201.6,750
-201.6,762
-201.4,777
-201.2,797
-201.1,820
-200.8,850
-200.7,880
-200.5,900
-200.1,950
-199.9,980
-199.6,1000
