T [°C],P [mbar]
-208.6,169
-208.5,175
-208.7,183
-209.1,190
-208,204
-207.7,212
-207.4,222
-207.2,234
-206.9,250
-206.7,260
-206.3,272
-205.9,285
-205.4,300
-205.2,313
-204.9,330
-204.4,355
-204.1,369
-203.9,384
-203.5,400
-203.2,420
-202.7,455
-202.3,475
-202,500
-201.8,520
-201.5,550
-201.1,570
-200.9,595
-200.7,620
-200.4,646
-200.2,666
-199.9,688
-199.6,720
-199.4,740
-199.2,760
-199,780
-198.8,800
-198.6,825
-198.4,850
-198.2,875
-197.9,900
-197.7,920
-197.6,950
-197.1,999
-196,1020
-195.4,1040
