Mesure,Temps,X,Y
0.000000,0.020000,1.756665,-0.004695
1.000000,0.110000,1.763030,0.004225
2.000000,0.180000,1.756665,0.001677
3.000000,0.260000,1.675188,0.002951
4.000000,0.350000,1.490591,0.000402
5.000000,0.430000,1.216878,-0.002146
6.000000,0.510000,0.866781,-0.007243
7.000000,0.590000,0.467034,-0.002146
8.000000,0.680000,0.043098,0.000402
9.000000,0.760000,-0.387204,-0.005969
10.000000,0.840000,-0.783132,-0.005969
11.000000,0.920000,-1.124318,0.000402
12.000000,1.000000,-1.385299,-0.005969
13.000000,1.080000,-1.499877,-0.002146
14.000000,1.160000,-1.507515,-0.000872
15.000000,1.240000,-1.499877,0.001677
16.000000,1.320000,-1.410761,0.002951
17.000000,1.400000,-1.177787,-0.000872
18.000000,1.480000,-0.853151,0.001677
19.000000,1.560000,-0.480139,0.004225
20.000000,1.640000,-0.063841,0.005500
21.000000,1.730000,0.370280,0.006774
22.000000,1.810000,0.748385,0.008048
23.000000,1.890000,1.097209,0.001677
24.000000,1.970000,1.369648,0.004225
25.000000,2.050000,1.564430,0.004225
26.000000,2.130000,1.663730,0.001677
27.000000,2.210000,1.650999,0.000402
28.000000,2.290000,1.549153,0.004225
29.000000,2.370000,1.348006,0.001677
30.000000,2.450000,1.069201,0.000402
31.000000,2.530000,0.728015,0.001677
32.000000,2.610000,0.344818,-0.004695
33.000000,2.700000,-0.071480,-0.000872
34.000000,2.780000,-0.480139,-0.002146
35.000000,2.860000,-0.846786,0.000402
36.000000,2.940000,-1.153598,0.001677
37.000000,3.020000,-1.380207,-0.003420
38.000000,3.100000,-1.502423,-0.002146
39.000000,3.190000,-1.507515,0.002951
40.000000,3.270000,-1.451499,0.001677
41.000000,3.350000,-1.259264,0.004225
42.000000,3.430000,-0.998283,0.001677
43.000000,3.520000,-0.641820,0.004225
44.000000,3.600000,-0.263715,0.004225
45.000000,3.680000,0.136033,0.005500
46.000000,3.760000,0.519230,0.001677
47.000000,3.840000,0.876966,0.005500
48.000000,3.920000,1.173594,0.004225
49.000000,4.000000,1.406568,0.001677
50.000000,4.090000,1.549153,0.002951
51.000000,4.170000,1.592437,0.002951
52.000000,4.250000,1.535149,-0.000872
53.000000,4.330000,1.386198,-0.004695
54.000000,4.410000,1.151951,-0.004695
55.000000,4.490000,0.855323,-0.002146
56.000000,4.570000,0.500134,-0.002146
57.000000,4.650000,0.123302,-0.000872
58.000000,4.730000,-0.264988,-0.003420
59.000000,4.820000,-0.643093,-0.000872
60.000000,4.890000,-0.953725,0.002951
61.000000,4.970000,-1.210887,-0.000872
62.000000,5.060000,-1.384026,-0.000872
63.000000,5.140000,-1.461684,0.001677
64.000000,5.220000,-1.442588,0.000402
65.000000,5.300000,-1.320372,-0.002146
66.000000,5.380000,-1.131956,-0.000872
67.000000,5.460000,-0.849332,0.004225
68.000000,5.540000,-0.510693,-0.002146
69.000000,5.620000,-0.141499,-0.002146
70.000000,5.700000,0.240425,0.008048
71.000000,5.780000,0.608346,0.004225
72.000000,5.870000,0.944439,-0.000872
73.000000,5.950000,1.201601,0.005500
74.000000,6.030000,1.384925,0.001677
75.000000,6.110000,1.496956,-0.000872
76.000000,6.190000,1.512233,0.000402
77.000000,6.270000,1.425664,-0.000872
78.000000,6.350000,1.263982,-0.005969
79.000000,6.430000,1.028462,-0.004695
80.000000,6.520000,0.712738,-0.000872
81.000000,6.600000,0.363914,-0.004695
82.000000,6.680000,-0.015464,-0.000872
83.000000,6.760000,-0.399934,-0.005969
84.000000,6.840000,-0.732209,-0.000872
85.000000,6.920000,-1.013560,0.001677
86.000000,7.000000,-1.214706,0.001677
87.000000,7.080000,-1.361111,-0.003420
88.000000,7.170000,-1.399303,-0.002146
89.000000,7.240000,-1.339468,-0.000872
