Mesure,Temps,X,Y
0.000000,0.030000,-0.088030,-0.007243
1.000000,0.110000,-0.063841,0.004225
2.000000,0.190000,-0.037106,0.015694
3.000000,0.270000,-0.006552,0.029711
4.000000,0.350000,0.031640,0.042454
5.000000,0.430000,0.064740,0.045002
6.000000,0.520000,0.086382,0.047551
7.000000,0.590000,0.105479,0.050100
8.000000,0.680000,0.113117,0.045002
9.000000,0.760000,0.109298,0.038631
10.000000,0.840000,0.095294,0.030985
11.000000,0.920000,0.071105,0.020791
12.000000,1.000000,0.046917,0.004225
13.000000,1.080000,0.011271,-0.009792
14.000000,1.160000,-0.020556,-0.019986
15.000000,1.240000,-0.052383,-0.026358
16.000000,1.330000,-0.076572,-0.036552
17.000000,1.410000,-0.095668,-0.037826
18.000000,1.490000,-0.113491,-0.027632
19.000000,1.570000,-0.118584,-0.031455
20.000000,1.650000,-0.109672,-0.017438
21.000000,1.730000,-0.096941,-0.012340
22.000000,1.810000,-0.076572,-0.002146
23.000000,1.890000,-0.049837,0.011871
24.000000,1.980000,-0.014191,0.028437
25.000000,2.050000,0.017636,0.033534
26.000000,2.130000,0.048190,0.038631
27.000000,2.220000,0.076198,0.045002
28.000000,2.300000,0.090202,0.050100
29.000000,2.380000,0.101659,0.045002
30.000000,2.460000,0.106752,0.038631
31.000000,2.540000,0.101659,0.034808
32.000000,2.620000,0.078744,0.022065
33.000000,2.700000,0.058375,0.013145
34.000000,2.780000,0.027821,-0.000872
35.000000,2.860000,-0.002733,-0.011066
36.000000,2.950000,-0.040926,-0.027632
37.000000,3.030000,-0.063841,-0.030180
38.000000,3.110000,-0.090576,-0.039100
39.000000,3.190000,-0.108399,-0.034003
40.000000,3.270000,-0.113491,-0.026358
41.000000,3.350000,-0.108399,-0.021260
42.000000,3.440000,-0.103307,-0.014889
43.000000,3.520000,-0.077845,-0.005969
44.000000,3.600000,-0.052383,0.005500
45.000000,3.680000,-0.032014,0.019517
46.000000,3.760000,0.006178,0.032260
47.000000,3.840000,0.039278,0.034808
48.000000,3.930000,0.071105,0.045002
49.000000,4.010000,0.088929,0.046277
50.000000,4.090000,0.105479,0.046277
51.000000,4.170000,0.111844,0.045002
52.000000,4.250000,0.100386,0.038631
53.000000,4.330000,0.090202,0.027162
54.000000,4.410000,0.062194,0.009322
55.000000,4.500000,0.031640,-0.005969
56.000000,4.580000,-0.005279,-0.017438
57.000000,4.660000,-0.037106,-0.023809
58.000000,4.740000,-0.052383,-0.031455
59.000000,4.820000,-0.081664,-0.036552
60.000000,4.900000,-0.102034,-0.035278
61.000000,4.980000,-0.117311,-0.031455
62.000000,5.070000,-0.113491,-0.026358
63.000000,5.140000,-0.110945,-0.017438
64.000000,5.220000,-0.082937,-0.005969
65.000000,5.300000,-0.060022,0.004225
66.000000,5.390000,-0.035833,0.018242
67.000000,5.470000,-0.000187,0.028437
68.000000,5.550000,0.029094,0.038631
69.000000,5.630000,0.059648,0.042454
70.000000,5.710000,0.088929,0.051374
71.000000,5.790000,0.101659,0.045002
72.000000,5.880000,0.105479,0.042454
73.000000,5.960000,0.109298,0.038631
74.000000,6.040000,0.091475,0.029711
75.000000,6.120000,0.068559,0.015694
76.000000,6.200000,0.039278,-0.000872
77.000000,6.280000,0.012544,-0.011066
78.000000,6.370000,-0.026922,-0.017438
79.000000,6.450000,-0.056203,-0.032729
80.000000,6.530000,-0.077845,-0.035278
81.000000,6.610000,-0.096941,-0.036552
82.000000,6.690000,-0.113491,-0.030180
83.000000,6.770000,-0.116037,-0.026358
84.000000,6.850000,-0.112218,-0.021260
85.000000,6.930000,-0.088030,-0.011066
86.000000,7.010000,-0.071480,-0.004695
87.000000,7.100000,-0.034560,0.020791
88.000000,7.180000,-0.009099,0.029711
89.000000,7.260000,0.024001,0.038631
90.000000,7.340000,0.057102,0.045002
91.000000,7.420000,0.081290,0.048825
92.000000,7.500000,0.101659,0.050100
93.000000,7.580000,0.106752,0.045002
94.000000,7.660000,0.110571,0.042454
95.000000,7.740000,0.094021,0.033534
96.000000,7.820000,0.078744,0.024614
97.000000,7.900000,0.049463,0.002951
98.000000,7.980000,0.024001,-0.004695
99.000000,8.070000,-0.015464,-0.018712
100.000000,8.150000,-0.040926,-0.022535
101.000000,8.230000,-0.074026,-0.035278
102.000000,8.310000,-0.093122,-0.036552
103.000000,8.390000,-0.113491,-0.035278
104.000000,8.480000,-0.116037,-0.031455
105.000000,8.560000,-0.108399,-0.022535
106.000000,8.640000,-0.104580,-0.011066
107.000000,8.720000,-0.076572,0.000402
108.000000,8.800000,-0.044745,0.009322
109.000000,8.880000,-0.020556,0.023340
110.000000,8.960000,0.015090,0.033534
111.000000,9.040000,0.045644,0.039905
112.000000,9.120000,0.072379,0.050100
113.000000,9.200000,0.095294,0.046277
114.000000,9.280000,0.105479,0.047551
115.000000,9.360000,0.110571,0.036082
116.000000,9.440000,0.100386,0.033534
117.000000,9.530000,0.088929,0.027162
118.000000,9.610000,0.057102,0.004225
119.000000,9.690000,0.031640,-0.000872
120.000000,9.770000,0.001086,-0.016163
121.000000,9.850000,-0.037106,-0.025083
122.000000,9.930000,-0.066387,-0.032729
123.000000,10.010000,-0.088030,-0.036552
124.000000,10.090000,-0.107126,-0.032729
125.000000,10.170000,-0.114764,-0.030180
126.000000,10.250000,-0.117311,-0.026358
127.000000,10.330000,-0.110945,-0.021260
128.000000,10.410000,-0.084210,-0.007243
129.000000,10.500000,-0.060022,0.000402
130.000000,10.580000,-0.033287,0.018242
131.000000,10.660000,-0.001460,0.034808
132.000000,10.740000,0.035459,0.038631
133.000000,10.820000,0.064740,0.043728
134.000000,10.900000,0.086382,0.046277
135.000000,10.980000,0.102933,0.045002
136.000000,11.060000,0.106752,0.039905
137.000000,11.140000,0.102933,0.034808
138.000000,11.220000,0.092748,0.029711
139.000000,11.300000,0.072379,0.015694
140.000000,11.380000,0.044371,0.002951
141.000000,11.460000,0.015090,-0.008518
142.000000,11.540000,-0.019283,-0.016163
143.000000,11.620000,-0.051110,-0.031455
144.000000,11.700000,-0.072753,-0.031455
145.000000,11.780000,-0.098214,-0.036552
146.000000,11.860000,-0.112218,-0.031455
147.000000,11.940000,-0.112218,-0.027632
148.000000,12.030000,-0.110945,-0.021260
149.000000,12.110000,-0.088030,-0.009792
150.000000,12.190000,-0.070207,0.000402
151.000000,12.270000,-0.046018,0.011871
152.000000,12.350000,-0.010372,0.028437
153.000000,12.430000,0.015090,0.034808
154.000000,12.520000,0.046917,0.043728
155.000000,12.600000,0.076198,0.050100
156.000000,12.680000,0.100386,0.047551
157.000000,12.760000,0.102933,0.043728
158.000000,12.840000,0.102933,0.038631
159.000000,12.920000,0.096567,0.034808
160.000000,13.000000,0.080017,0.027162
161.000000,13.080000,0.055829,0.009322
162.000000,13.170000,0.020182,-0.007243
163.000000,13.250000,-0.001460,-0.012340
164.000000,13.330000,-0.040926,-0.026358
165.000000,13.410000,-0.067660,-0.035278
166.000000,13.490000,-0.090576,-0.035278
167.000000,13.570000,-0.107126,-0.031455
168.000000,13.650000,-0.112218,-0.028906
169.000000,13.730000,-0.121130,-0.026358
170.000000,13.810000,-0.104580,-0.016163
171.000000,13.890000,-0.082937,-0.005969
172.000000,13.970000,-0.051110,0.009322
173.000000,14.050000,-0.028195,0.023340
174.000000,14.140000,0.008725,0.034808
175.000000,14.220000,0.032913,0.038631
176.000000,14.300000,0.068559,0.043728
177.000000,14.380000,0.095294,0.050100
178.000000,14.460000,0.105479,0.042454
179.000000,14.540000,0.111844,0.041180
180.000000,14.620000,0.101659,0.037357
181.000000,14.700000,0.082563,0.028437
182.000000,14.780000,0.067286,0.011871
183.000000,14.870000,0.035459,0.001677
184.000000,14.950000,0.001086,-0.011066
185.000000,15.030000,-0.030741,-0.025083
186.000000,15.110000,-0.057476,-0.032729
187.000000,15.190000,-0.082937,-0.036552
188.000000,15.270000,-0.102034,-0.036552
189.000000,15.350000,-0.113491,-0.031455
190.000000,15.430000,-0.114764,-0.025083
191.000000,15.510000,-0.110945,-0.021260
192.000000,15.590000,-0.090576,-0.005969
193.000000,15.670000,-0.062568,0.005500
194.000000,15.750000,-0.033287,0.018242
195.000000,15.830000,-0.011645,0.025888
196.000000,15.920000,0.025275,0.034808
197.000000,16.000000,0.055829,0.046277
198.000000,16.080000,0.085109,0.046277
199.000000,16.160000,0.097840,0.046277
200.000000,16.240000,0.111844,0.045002
201.000000,16.320000,0.105479,0.038631
202.000000,16.400000,0.096567,0.032260
203.000000,16.480000,0.074925,0.018242
204.000000,16.570000,0.041825,-0.002146
205.000000,16.650000,0.018909,-0.009792
206.000000,16.730000,-0.018010,-0.022535
207.000000,16.810000,-0.043472,-0.022535
208.000000,16.890000,-0.076572,-0.037826
209.000000,16.970000,-0.093122,-0.037826
210.000000,17.050000,-0.114764,-0.035278
211.000000,17.130000,-0.118584,-0.028906
212.000000,17.210000,-0.113491,-0.022535
213.000000,17.290000,-0.098214,-0.008518
214.000000,17.370000,-0.071480,0.001677
215.000000,17.450000,-0.046018,0.009322
216.000000,17.530000,-0.023103,0.023340
217.000000,17.620000,0.018909,0.036082
218.000000,17.700000,0.044371,0.045002
219.000000,17.770000,0.072379,0.043728
220.000000,17.860000,0.092748,0.050100
221.000000,17.940000,0.104206,0.043728
222.000000,18.020000,0.104206,0.038631
