Mesure,Temps,X,Y
0.000000,0.040000,0.018909,-0.014889
1.000000,0.110000,0.018909,-0.028906
2.000000,0.200000,0.024001,-0.039100
3.000000,0.280000,0.020182,-0.037826
4.000000,0.360000,0.011271,-0.026358
5.000000,0.440000,0.002359,-0.011066
6.000000,0.520000,-0.009099,0.013145
7.000000,0.600000,-0.023103,0.029711
8.000000,0.680000,-0.032014,0.036082
9.000000,0.760000,-0.020556,0.039905
10.000000,0.840000,-0.014191,0.033534
11.000000,0.920000,-0.000187,0.025888
12.000000,1.010000,0.006178,0.001677
13.000000,1.090000,0.020182,-0.022535
14.000000,1.170000,0.018909,-0.031455
15.000000,1.250000,0.018909,-0.042923
16.000000,1.330000,0.022728,-0.034003
17.000000,1.410000,0.007451,-0.022535
18.000000,1.490000,-0.005279,-0.002146
19.000000,1.570000,-0.016737,0.019517
20.000000,1.650000,-0.018010,0.034808
21.000000,1.730000,-0.021829,0.038631
22.000000,1.820000,-0.021829,0.039905
23.000000,1.890000,-0.012918,0.033534
24.000000,1.980000,-0.005279,0.013145
25.000000,2.060000,0.013817,-0.008518
26.000000,2.140000,0.018909,-0.021260
27.000000,2.220000,0.018909,-0.039100
28.000000,2.300000,0.024001,-0.035278
29.000000,2.380000,0.013817,-0.032729
30.000000,2.460000,0.009998,-0.012340
31.000000,2.540000,-0.010372,0.005500
32.000000,2.630000,-0.016737,0.032260
33.000000,2.700000,-0.025649,0.038631
34.000000,2.790000,-0.023103,0.043728
35.000000,2.870000,-0.020556,0.042454
36.000000,2.950000,-0.005279,0.029711
37.000000,3.030000,0.004905,0.009322
38.000000,3.110000,0.009998,-0.014889
39.000000,3.200000,0.018909,-0.031455
40.000000,3.280000,0.026548,-0.042923
41.000000,3.360000,0.030367,-0.031455
42.000000,3.440000,0.017636,-0.022535
43.000000,3.530000,-0.000187,-0.005969
44.000000,3.610000,-0.012918,0.018242
45.000000,3.690000,-0.019283,0.034808
46.000000,3.770000,-0.021829,0.043728
47.000000,3.850000,-0.020556,0.039905
48.000000,3.930000,-0.011645,0.038631
49.000000,4.010000,-0.006552,0.018242
50.000000,4.100000,0.015090,-0.005969
51.000000,4.170000,0.020182,-0.022535
52.000000,4.250000,0.024001,-0.039100
53.000000,4.340000,0.024001,-0.042923
54.000000,4.420000,0.018909,-0.031455
55.000000,4.500000,0.008725,-0.016163
56.000000,4.580000,-0.000187,0.001677
57.000000,4.660000,-0.011645,0.025888
58.000000,4.740000,-0.021829,0.034808
59.000000,4.830000,-0.025649,0.046277
60.000000,4.910000,-0.019283,0.037357
61.000000,4.990000,-0.011645,0.029711
62.000000,5.080000,0.008725,0.008048
63.000000,5.160000,0.020182,-0.012340
64.000000,5.250000,0.018909,-0.034003
65.000000,5.330000,0.026548,-0.034003
66.000000,5.410000,0.018909,-0.031455
67.000000,5.490000,0.009998,-0.027632
68.000000,5.570000,-0.001460,-0.008518
69.000000,5.650000,-0.010372,0.019517
70.000000,5.730000,-0.019283,0.032260
71.000000,5.810000,-0.026922,0.036082
72.000000,5.890000,-0.025649,0.045002
73.000000,5.980000,-0.016737,0.030985
74.000000,6.060000,-0.005279,0.020791
75.000000,6.140000,0.006178,-0.005969
76.000000,6.220000,0.017636,-0.021260
77.000000,6.300000,0.021455,-0.036552
78.000000,6.380000,0.024001,-0.040375
