Mesure,Temps,X,Y
0.000000,0.040000,-0.020556,-0.026358
1.000000,0.120000,-0.032014,-0.031455
2.000000,0.200000,-0.032014,-0.031455
3.000000,0.280000,-0.032014,-0.036552
4.000000,0.360000,-0.030741,-0.032729
5.000000,0.440000,-0.033287,-0.031455
6.000000,0.520000,-0.029468,-0.027632
7.000000,0.600000,-0.030741,-0.027632
8.000000,0.680000,-0.023103,-0.026358
9.000000,0.760000,-0.016737,-0.016163
10.000000,0.840000,-0.015464,-0.008518
11.000000,0.920000,-0.005279,-0.004695
12.000000,1.000000,0.004905,0.008048
13.000000,1.080000,0.008725,0.018242
14.000000,1.160000,0.018909,0.025888
15.000000,1.250000,0.024001,0.032260
16.000000,1.330000,0.027821,0.036082
17.000000,1.410000,0.039278,0.038631
18.000000,1.490000,0.039278,0.047551
19.000000,1.570000,0.041825,0.050100
20.000000,1.660000,0.039278,0.039905
21.000000,1.740000,0.038005,0.043728
22.000000,1.820000,0.039278,0.042454
23.000000,1.900000,0.034186,0.033534
24.000000,1.980000,0.031640,0.033534
25.000000,2.060000,0.024001,0.029711
26.000000,2.140000,0.017636,0.011871
27.000000,2.220000,0.009998,0.005500
28.000000,2.300000,0.003632,-0.005969
29.000000,2.390000,-0.001460,-0.007243
30.000000,2.470000,-0.010372,-0.018712
31.000000,2.550000,-0.016737,-0.025083
32.000000,2.630000,-0.026922,-0.032729
33.000000,2.710000,-0.029468,-0.036552
34.000000,2.790000,-0.033287,-0.041649
35.000000,2.870000,-0.032014,-0.039100
36.000000,2.950000,-0.037106,-0.036552
37.000000,3.030000,-0.034560,-0.035278
38.000000,3.110000,-0.032014,-0.030180
39.000000,3.190000,-0.029468,-0.028906
40.000000,3.270000,-0.019283,-0.018712
41.000000,3.360000,-0.012918,-0.016163
42.000000,3.430000,-0.010372,-0.002146
43.000000,3.520000,-0.000187,-0.002146
44.000000,3.600000,0.003632,0.011871
45.000000,3.680000,0.020182,0.024614
46.000000,3.760000,0.025275,0.029711
47.000000,3.840000,0.034186,0.036082
48.000000,3.920000,0.035459,0.038631
49.000000,4.000000,0.034186,0.038631
50.000000,4.080000,0.039278,0.042454
51.000000,4.160000,0.045644,0.048825
52.000000,4.240000,0.039278,0.041180
53.000000,4.330000,0.040552,0.039905
54.000000,4.410000,0.030367,0.036082
55.000000,4.490000,0.035459,0.029711
56.000000,4.570000,0.025275,0.028437
57.000000,4.650000,0.018909,0.024614
58.000000,4.730000,0.021455,0.011871
59.000000,4.810000,0.009998,0.002951
60.000000,4.890000,0.003632,-0.005969
61.000000,4.980000,-0.005279,-0.011066
62.000000,5.060000,-0.010372,-0.022535
63.000000,5.140000,-0.021829,-0.027632
64.000000,5.220000,-0.024376,-0.031455
65.000000,5.300000,-0.024376,-0.035278
66.000000,5.380000,-0.029468,-0.040375
67.000000,5.460000,-0.026922,-0.035278
68.000000,5.540000,-0.033287,-0.037826
69.000000,5.620000,-0.024376,-0.030180
70.000000,5.700000,-0.025649,-0.028906
71.000000,5.790000,-0.023103,-0.022535
72.000000,5.870000,-0.019283,-0.019986
73.000000,5.950000,-0.010372,-0.007243
74.000000,6.030000,-0.000187,-0.005969
75.000000,6.110000,0.006178,0.004225
76.000000,6.190000,0.008725,0.018242
77.000000,6.270000,0.024001,0.024614
78.000000,6.360000,0.029094,0.032260
79.000000,6.440000,0.035459,0.039905
80.000000,6.520000,0.034186,0.042454
81.000000,6.600000,0.035459,0.039905
82.000000,6.680000,0.046917,0.045002
83.000000,6.760000,0.039278,0.046277
84.000000,6.840000,0.039278,0.038631
85.000000,6.920000,0.038005,0.042454
86.000000,7.000000,0.030367,0.033534
87.000000,7.090000,0.031640,0.033534
88.000000,7.170000,0.025275,0.024614
