Temps [s],Tension [V]
25.77,-0.856867
25.85,-1.360199
25.93,-2.032578
26.01,-2.78122
26.09,-3.573077
26.18,-4.375102
26.26,-5.136454
26.34,-5.793581
26.42,-6.312165
26.5,-6.571457
26.58,-6.585438
26.66,-6.343941
26.74,-5.841881
26.82,-5.165688
26.9,-4.382728
26.98,-3.567993
27.06,-2.763425
27.14,-2.017326
27.22,-1.370367
27.3,-0.864494
27.38,-0.5658
27.46,-0.497163
27.55,-0.690361
27.63,-1.12887
27.71,-1.761847
27.79,-2.529554
27.87,-3.397674
27.95,-4.258167
28.03,-5.030958
28.11,-5.666477
28.19,-6.138033
28.27,-6.411306
28.35,-6.4774
28.43,-6.397325
28.51,-6.054144
28.59,-5.501242
28.67,-4.747517
28.75,-3.887023
28.83,-3.006194
28.92,-2.188916
28.99,-1.515265
29.07,-0.973803
29.15,-0.649688
29.24,-0.536566
29.32,-0.656043
29.4,-0.990326
29.48,-1.54577
29.56,-2.20671
29.64,-2.957894
29.72,-3.820929
29.8,-4.667441
29.88,-5.491074
29.96,-6.112612
30.04,-6.55112
30.12,-6.687122
30.2,-6.568915
30.28,-6.22065
30.36,-5.709693
30.45,-5.023332
30.53,-4.217493
30.61,-3.369711
30.69,-2.509218
30.77,-1.761847
30.85,-1.12887
30.94,-0.695445
31.02,-0.508603
31.1,-0.600118
31.18,-0.93313
31.26,-1.494929
31.34,-2.201626
31.43,-3.015091
31.5,-3.837453
31.59,-4.652189
31.67,-5.380494
31.74,-5.98805
31.83,-6.451979
31.91,-6.671869
31.99,-6.671869
32.07,-6.374446
32.15,-5.773245
32.23,-5.104678
32.31,-4.267064
32.39,-3.425636
32.47,-2.623611
32.55,-1.899119
32.63,-1.278852
32.72,-0.827633
32.8,-0.589949
32.88,-0.575968
32.96,-0.789502
33.04,-1.212758
33.12,-1.854633
33.2,-2.617256
33.28,-3.482833
33.36,-4.370018
33.44,-5.165688
33.52,-5.85332
33.6,-6.291828
33.69,-6.534597
33.77,-6.535868
33.85,-6.35538
33.93,-5.961358
34.01,-5.37541
34.09,-4.677609
34.17,-3.83364
34.25,-2.971876
34.33,-2.12028
34.42,-1.38689
34.5,-0.888643
34.58,-0.609015
34.66,-0.579781
34.74,-0.788231
34.82,-1.207674
34.9,-1.772015
34.98,-2.482526
35.06,-3.284551
35.14,-4.061156
35.22,-4.892415
35.3,-5.605468
35.38,-6.154556
35.46,-6.533326
35.54,-6.627383
35.62,-6.4774
35.7,-6.063042
35.78,-5.487261
35.86,-4.781835
35.94,-4.006501
36.02,-3.207018
36.1,-2.438039
36.19,-1.707192
36.26,-1.140309
36.34,-0.741203
36.42,-0.556902
36.5,-0.620454
36.58,-0.929317
36.67,-1.480947
36.75,-2.173663
36.83,-3.003652
36.91,-3.842537
36.99,-4.65346
37.07,-5.357615
37.15,-5.935938
37.23,-6.345212
37.31,-6.543494
37.4,-6.553662
37.48,-6.284202
37.56,-5.81646
37.64,-5.140268
37.72,-4.32299
37.8,-3.435805
37.88,-2.59819
37.96,-1.83938
38.04,-1.234366
38.12,-0.812381
38.2,-0.610286
38.29,-0.643333
38.37,-0.922961
38.45,-1.371638
38.53,-1.97411
38.61,-2.729107
38.69,-3.569264
38.77,-4.442467
38.85,-5.261016
38.93,-5.944835
39.01,-6.389698
39.1,-6.640093
39.18,-6.591794
39.25,-6.32996
39.34,-5.885096
39.42,-5.271184
39.5,-4.533982
39.58,-3.717975
39.66,-2.8918
39.74,-2.119009
39.82,-1.445358
39.9,-0.926774
39.98,-0.629351
40.06,-0.556902
40.14,-0.764082
40.22,-1.205132
40.3,-1.821586
40.38,-2.602003
40.47,-3.421823
40.55,-4.230204
40.62,-4.975032
40.71,-5.64487
40.79,-6.164725
40.87,-6.530784
40.95,-6.645177
41.03,-6.496466
41.11,-6.096089
41.19,-5.470738
41.27,-4.715741
41.35,-3.902276
41.43,-3.065932
41.52,-2.27916
41.6,-1.600425
41.68,-1.065318
41.76,-0.729763
41.84,-0.634436
41.92,-0.753913
42,-1.11743
42.08,-1.671603
42.16,-2.417703
42.24,-3.260401
42.32,-4.132334
42.4,-4.969948
42.48,-5.656309
42.56,-6.15964
42.65,-6.491382
42.73,-6.589252
42.81,-6.481213
42.89,-6.165996
42.97,-5.670291
43.05,-5.013164
43.13,-4.218765
43.21,-3.388776
43.29,-2.547349
43.37,-1.810146
43.45,-1.189879
43.53,-0.783147
43.61,-0.603931
43.69,-0.668754
43.77,-0.953466
43.85,-1.45934
43.94,-2.155869
44.02,-2.922305
44.1,-3.705265
44.18,-4.553048
44.26,-5.337278
44.34,-5.956274
44.42,-6.394783
44.5,-6.645177
44.58,-6.642635
44.66,-6.370633
44.74,-5.913059
44.82,-5.261016
44.9,-4.472972
44.98,-3.626461
45.07,-2.790117
45.15,-2.047831
45.23,-1.414853
45.31,-0.931859
45.39,-0.661127
45.47,-0.617912
45.55,-0.822549
45.63,-1.250889
45.71,-1.895306
45.8,-2.678266
45.88,-3.50317
45.96,-4.382728
46.04,-5.169501
46.12,-5.806292
46.2,-6.254968
46.28,-6.519344
46.36,-6.577812
46.44,-6.396054
46.53,-5.972798
46.61,-5.381765
46.69,-4.663628
46.77,-3.79678
46.85,-2.957894
46.93,-2.144429
47.01,-1.489845
47.09,-0.991597
47.17,-0.705614
47.25,-0.643333
47.34,-0.826362
47.42,-1.210216
47.5,-1.787268
47.58,-2.476171
47.66,-3.303617
47.74,-4.153942
47.82,-4.966135
47.9,-5.665206
47.99,-6.192687
48.07,-6.510447
48.15,-6.572728
48.23,-6.402409
48.31,-6.014742
48.39,-5.440233
48.47,-4.762769
48.55,-3.974725
48.63,-3.162531
48.71,-2.373216
48.79,-1.658893
48.87,-1.112346
48.95,-0.752642
49.04,-0.617912
49.12,-0.747558
49.2,-1.123785
49.28,-1.661435
49.36,-2.364319
49.44,-3.146008
49.52,-3.965828
49.6,-4.746246
49.68,-5.430064
49.76,-6.007116
49.84,-6.399867
49.92,-6.581625
50,-6.543494
50.09,-6.197772
50.17,-5.65758
50.25,-4.98393
50.32,-4.207325
50.41,-3.365898
50.49,-2.577854
50.56,-1.896577
50.65,-1.278852
50.73,-0.874662
50.81,-0.672567
50.89,-0.690361
50.97,-0.936943
51.05,-1.39833
51.13,-2.000802
51.21,-2.738005
51.29,-3.546385
51.37,-4.361121
51.45,-5.097052
51.53,-5.750366
51.61,-6.157098
51.7,-6.401138
51.78,-6.401138
51.86,-6.167267
51.94,-5.757992
52.02,-5.174586
52.1,-4.437383
52.18,-3.660779
52.26,-2.856211
52.34,-2.074522
52.42,-1.442816
52.5,-0.971261
52.58,-0.691632
52.66,-0.670025
52.74,-0.864494
52.83,-1.275039
52.91,-1.855904
52.99,-2.566414
53.07,-3.349374
53.15,-4.166652
53.23,-4.936901
53.31,-5.600383
53.39,-6.131678
53.47,-6.485026
53.55,-6.549849
53.63,-6.394783
53.71,-6.010929
53.79,-5.42498
53.87,-4.71447
53.95,-3.926426
54.03,-3.126942
54.12,-2.359235
54.2,-1.69194
54.28,-1.156832
54.36,-0.814923
54.44,-0.682735
54.52,-0.788231
54.6,-1.137767
54.68,-1.690669
54.76,-2.398637
54.84,-3.193036
54.93,-4.024296
55.01,-4.809797
55.09,-5.480906
55.17,-6.008387
55.25,-6.380801
55.33,-6.518073
55.41,-6.446895
55.49,-6.145659
55.57,-5.653767
55.65,-4.986472
55.73,-4.198428
55.82,-3.33158
55.9,-2.529554
55.98,-1.807604
56.06,-1.243263
56.14,-0.879746
56.22,-0.720866
56.3,-0.78696
56.38,-1.06786
56.46,-1.549583
56.54,-2.178748
56.62,-2.938829
56.7,-3.747209
56.79,-4.572113
56.87,-5.313129
56.95,-5.920685
57.03,-6.326147
57.11,-6.523158
57.19,-6.478671
57.27,-6.191416
57.35,-5.744011
57.43,-5.130099
57.51,-4.401794
57.6,-3.595956
57.68,-2.796472
57.76,-2.040204
57.84,-1.416124
57.92,-0.95855
58,-0.727221
58.08,-0.736119
58.16,-0.973803
58.24,-1.427564
58.32,-2.044017
58.4,-2.787575
58.49,-3.597227
58.56,-4.392897
58.64,-5.128828
58.73,-5.756721
58.81,-6.228277
58.89,-6.50155
58.97,-6.563831
59.05,-6.380801
59.13,-5.970256
59.22,-5.356344
59.3,-4.601347
59.38,-3.762462
59.46,-2.956623
59.54,-2.207981
59.62,-1.576275
59.7,-1.093281
