Temps [s],Tension [V]
0.02,1.639452
0.1,3.532029
0.18,5.247931
0.26,6.721065
0.34,7.774756
0.42,8.327658
0.5,8.347994
0.59,7.787466
0.67,6.722336
0.75,5.255557
0.83,3.507879
0.91,1.64835
0.99,-0.212451
1.07,-1.853362
1.15,-3.274383
1.23,-4.333158
1.31,-4.954696
1.4,-5.079258
1.48,-4.631852
1.56,-3.701452
1.64,-2.399908
1.72,-0.780605
1.8,1.035709
1.88,2.951164
1.96,4.712824
2.04,6.267304
2.12,7.42522
2.2,8.137002
2.28,8.328929
2.36,7.957785
2.44,7.070601
2.52,5.771599
2.6,4.15738
2.68,2.280056
2.76,0.402732
2.84,-1.376722
2.93,-2.898155
3.01,-4.047174
3.09,-4.728451
3.17,-4.93563
3.25,-4.675067
3.33,-3.94422
3.41,-2.797743
3.49,-1.320796
3.57,0.434508
3.66,2.351234
3.73,4.149754
3.82,5.790665
3.9,7.111274
3.98,7.961599
4.06,8.2819
4.14,8.046758
4.23,7.225667
4.31,5.964797
4.39,4.417943
4.47,2.648657
4.55,0.851409
4.63,-0.949653
4.71,-2.506675
4.79,-3.729415
4.87,-4.591179
4.95,-4.971219
5.03,-4.819966
5.11,-4.151399
5.19,-3.055764
5.27,-1.618219
5.36,0.083701
5.44,1.921623
5.52,3.744292
5.6,5.424605
5.68,6.773177
5.76,7.777298
5.84,8.222161
5.92,8.139544
6,7.520548
6.08,6.446521
6.16,4.994994
6.25,3.176138
6.33,1.325506
6.41,-0.489537
6.49,-2.063083
6.57,-3.339206
6.65,-4.268335
6.73,-4.780564
6.81,-4.817424
6.89,-4.339513
6.97,-3.430721
7.05,-2.103756
7.13,-0.518771
7.21,1.328048
7.29,3.182493
7.38,4.942882
7.46,6.408389
7.54,7.535801
7.62,8.144628
7.7,8.218348
7.78,7.748064
7.86,6.743944
7.94,5.420792
8.02,3.768442
8.1,1.961025
8.18,0.161235
8.26,-1.58263
8.34,-2.997296
8.42,-4.07895
8.5,-4.722096
8.59,-4.851742
8.67,-4.445009
8.75,-3.617563
8.83,-2.43931
8.91,-0.943298
8.99,0.848866
9.07,2.642302
9.15,4.400148
9.23,5.915226
9.31,7.120171
9.39,7.903131
9.47,8.167507
9.55,7.91457
9.63,7.157031
9.71,5.952087
9.79,4.388709
9.88,2.550787
9.96,0.698884
10.04,-1.037355
10.12,-2.530825
10.2,-3.733228
10.28,-4.542879
10.36,-4.896228
10.44,-4.717012
10.52,-4.045903
10.6,-2.900697
10.69,-1.444087
10.77,0.262918
10.85,2.090671
10.93,3.87648
11.01,5.517391
11.09,6.793514
11.17,7.708662
11.25,8.144628
11.33,8.039132
11.41,7.38836
11.49,6.283828
11.58,4.795441
11.66,3.050305
11.74,1.147561
11.82,-0.63952
11.9,-2.216879
11.98,-3.510796
12.06,-4.382728
12.14,-4.833947
12.22,-4.770395
12.3,-4.232746
12.38,-3.252775
12.46,-1.942334
12.55,-0.279816
12.63,1.525059
12.71,3.329934
12.78,4.983555
12.87,6.442707
12.95,7.476062
13.03,8.039132
13.11,8.084889
13.19,7.579016
13.27,6.591419
13.35,5.253015
13.43,3.605749
13.51,1.818669
13.59,0.011252
13.67,-1.624575
13.75,-3.088811
13.84,-4.192073
13.92,-4.807255
14,-4.92292
14.08,-4.462804
14.16,-3.566722
14.25,-2.213066
14.33,-0.619183
14.41,1.186963
14.49,2.929557
14.57,4.705198
14.65,6.16435
14.73,7.26634
14.81,7.937449
14.89,8.106497
14.97,7.726456
15.05,6.859608
15.14,5.54027
15.22,3.929864
15.3,2.145326
15.38,0.345535
15.46,-1.358928
15.54,-2.74436
15.62,-3.834911
15.7,-4.492038
15.78,-4.717012
15.87,-4.40942
15.95,-3.682386
16.03,-2.542265
16.11,-1.025915
16.19,0.655669
16.27,2.465628
16.35,4.189156
16.43,5.716944
16.51,6.915534
16.59,7.754419
16.67,8.039132
16.75,7.798906
16.83,7.078227
16.91,5.910142
16.99,4.424298
17.07,2.716022
17.15,0.908605
17.24,-0.883559
17.32,-2.424058
17.4,-3.593414
17.48,-4.380186
17.56,-4.715741
17.64,-4.526356
17.72,-3.92007
17.8,-2.896884
17.88,-1.482218
17.96,0.109122
18.04,1.849174
18.13,3.687096
18.21,5.291146
18.29,6.639718
18.37,7.554866
18.45,7.998459
18.53,7.939991
18.61,7.352771
18.69,6.316875
18.77,4.886956
18.85,3.233335
18.93,1.418292
19.02,-0.362433
19.09,-1.895306
19.18,-3.205747
19.26,-4.160297
19.34,-4.647105
19.42,-4.626768
19.5,-4.146315
19.58,-3.190494
19.66,-1.883867
19.74,-0.29761
19.83,1.500909
19.91,3.261298
19.99,4.902209
20.07,6.329585
20.15,7.368024
20.23,7.942533
20.31,7.990832
20.39,7.512922
20.47,6.56854
20.55,5.232679
20.64,3.59431
20.72,1.786893
20.8,0.009981
20.88,-1.588986
20.96,-2.954081
21.04,-3.949304
21.12,-4.50729
21.2,-4.597534
21.28,-4.21368
21.37,-3.369711
21.45,-2.158411
21.53,-0.634436
21.61,1.08528
21.69,2.87236
21.77,4.565383
21.85,6.018181
21.93,7.1189
22.01,7.809074
22.09,8.014982
22.17,7.65782
22.25,6.827832
22.34,5.561878
22.41,4.045529
22.5,2.322
22.58,0.538733
22.66,-1.118701
22.74,-2.590564
22.82,-3.686199
22.9,-4.395439
22.98,-4.662357
23.06,-4.418318
23.14,-3.73577
23.22,-2.599461
23.3,-1.203861
23.38,0.484078
23.46,2.205065
23.54,3.927322
23.62,5.462737
23.7,6.715981
23.78,7.562492
23.87,7.927281
23.95,7.765859
24.03,7.132881
24.11,6.028349
24.19,4.617496
24.27,2.914304
24.35,1.119598
24.43,-0.551818
24.51,-2.066896
24.59,-3.32014
24.67,-4.206054
24.75,-4.645833
24.83,-4.617871
24.92,-4.081492
24.99,-3.109148
25.08,-1.7288
25.16,-0.117123
25.24,1.608948
25.32,3.397299
25.4,4.993723
25.48,6.338482
25.56,7.326079
25.64,7.856102
25.72,7.872626
25.8,7.393444
25.88,6.422371
25.96,5.05092
26.04,3.454496
26.13,1.657247
26.2,-0.054842
26.28,-1.619491
26.36,-2.924847
26.45,-3.912444
26.53,-4.442467
26.61,-4.523814
26.69,-4.156484
26.77,-3.340477
26.85,-2.201626
26.93,-0.746287
27.01,0.984868
27.09,2.694415
27.17,4.364559
27.25,5.830067
27.33,6.939684
27.41,7.627315
27.49,7.871355
27.57,7.590455
27.65,6.797327
27.73,5.603822
27.81,4.091286
27.89,2.394449
27.98,0.628977
28.06,-1.086925
28.14,-2.4749
28.22,-3.573077
28.3,-4.270877
28.38,-4.535253
28.46,-4.307737
28.54,-3.645526
28.62,-2.576583
28.7,-1.207674
28.78,0.443405
28.87,2.182186
28.95,3.895546
29.03,5.399185
29.11,6.620653
29.19,7.431575
29.27,7.790008
29.35,7.646381
29.43,7.024843
29.51,5.960984
29.59,4.545047
29.67,2.844397
29.75,1.105616
29.84,-0.666212
29.92,-2.125364
30,-3.290906
30.08,-4.091661
30.16,-4.455178
30.24,-4.345868
30.32,-3.83364
30.4,-2.881632
30.48,-1.561023
30.56,0.034131
30.65,1.756388
30.73,3.528216
30.81,5.077612
30.89,6.365174
30.97,7.268883
31.05,7.762046
31.13,7.731541
31.21,7.201517
31.29,6.210107
31.38,4.837386
31.46,3.235877
31.54,1.494554
31.62,-0.204825
31.7,-1.703379
31.78,-2.996025
31.86,-3.92007
31.94,-4.382728
32.02,-4.408149
32.1,-3.979809
32.18,-3.098979
32.26,-1.883867
32.34,-0.422172
32.43,1.298814
32.51,2.995651
32.59,4.590804
32.67,5.988947
32.75,7.027385
32.83,7.622231
32.91,7.74298
32.99,7.36421
33.07,6.527867
33.15,5.328007
33.23,3.820555
33.31,2.093213
33.39,0.336638
33.47,-1.208945
33.55,-2.603274
33.63,-3.597227
33.72,-4.27469
33.8,-4.448822
33.88,-4.170465
33.96,-3.397674
34.04,-2.293141
34.12,-0.861952
34.2,0.763707
34.28,2.466899
34.36,4.107809
34.45,5.611448
34.53,6.756654
34.61,7.488772
34.69,7.756961
34.77,7.51038
34.85,6.766822
34.94,5.584756
35.01,4.165006
35.1,2.45673
35.18,0.707781
35.26,-0.903896
35.34,-2.32873
35.42,-3.414197
35.5,-4.129792
35.58,-4.395439
35.66,-4.226391
35.74,-3.56418
35.82,-2.544807
35.9,-1.191151
35.98,0.392564
36.07,2.121176
36.15,3.791321
36.23,5.269539
36.31,6.552017
36.39,7.382005
36.47,7.722643
36.55,7.622231
36.63,7.013404
36.71,5.969881
36.79,4.570468
36.87,2.989296
36.95,1.288646
37.03,-0.403107
37.12,-1.943605
37.2,-3.137111
37.28,-3.970912
37.36,-4.354766
37.44,-4.306466
37.52,-3.790424
37.6,-2.844772
37.68,-1.573733
37.76,-0.044674
37.84,1.601321
37.93,3.354084
38.01,4.908564
38.09,6.234257
38.17,7.157031
38.25,7.652736
38.33,7.667989
38.41,7.181181
38.49,6.23807
38.57,4.950508
38.65,3.375691
38.74,1.666144
38.82,-0.037047
38.9,-1.571191
38.98,-2.824435
39.06,-3.740854
39.14,-4.269606
39.22,-4.329345
39.3,-3.930239
39.38,-3.112961
39.46,-1.904203
39.55,-0.408191
39.63,1.231449
39.71,2.886341
39.79,4.482766
39.87,5.929208
39.95,6.93587
40.03,7.55995
40.11,7.688325
40.19,7.331163
40.27,6.510072
40.35,5.319109
40.44,3.767171
40.52,2.105924
40.6,0.405274
40.68,-1.170814
40.76,-2.539722
40.84,-3.523506
40.92,-4.148857
41,-4.315363
41.08,-4.057343
41.16,-3.330309
41.24,-2.261365
41.33,-0.827633
41.41,0.790399
41.49,2.446562
41.57,4.09637
41.65,5.54027
41.73,6.700728
41.81,7.416323
41.89,7.68197
41.97,7.437931
42.05,6.741402
42.13,5.622888
42.21,4.190427
42.29,2.618152
42.37,0.904792
42.45,-0.701801
42.54,-2.154598
42.62,-3.25913
42.7,-4.011585
42.78,-4.316634
42.86,-4.170465
42.94,-3.575619
43.02,-2.608359
43.1,-1.296647
43.18,0.233684
43.26,1.892389
43.34,3.587955
43.42,5.085238
43.5,6.314333
43.58,7.173555
43.66,7.604437
43.74,7.528174
43.82,6.987983
43.91,5.990218
43.99,4.639104
44.07,3.073184
44.15,1.395413
44.23,-0.2849
44.31,-1.751679
44.39,-2.942642
44.48,-3.806948
44.56,-4.240372
44.64,-4.236559
44.72,-3.773901
44.8,-2.913408
44.88,-1.675416
44.96,-0.175591
45.04,1.514891
45.12,3.124026
45.2,4.674693
45.28,6.00547
45.37,6.975273
45.45,7.509109
45.53,7.562492
45.61,7.14305
45.69,6.264762
45.77,5.007705
45.85,3.530758
45.93,1.920352
46.01,0.234955
46.09,-1.314441
46.17,-2.602003
46.25,-3.543843
46.33,-4.106913
46.41,-4.244185
46.49,-3.925155
46.58,-3.1727
46.65,-2.08342
46.74,-0.656043
46.82,0.935297
46.9,2.604171
46.98,4.200595
47.06,5.643224
47.14,6.69056
47.22,7.374379
47.3,7.587913
47.38,7.289219
47.46,6.543119
47.55,5.362325
47.63,3.950201
47.71,2.302935
47.79,0.674734
47.87,-0.926774
47.95,-2.309664
48.03,-3.323953
48.12,-4.037006
48.2,-4.258167
48.28,-4.04209
48.36,-3.386234
48.44,-2.32873
48.52,-0.934401
48.6,0.635332
48.68,2.271159
48.76,3.875209
48.84,5.339446
48.92,6.452876
49,7.224396
49.09,7.537072
49.17,7.350229
49.25,6.705812
49.33,5.643224
49.41,4.301007
49.49,2.699499
49.57,1.062401
49.65,-0.539108
49.73,-1.909287
49.81,-3.01382
49.89,-3.818387
49.97,-4.159026
50.05,-4.101829
50.13,-3.573077
50.22,-2.657929
50.3,-1.413582
50.38,0.101496
50.46,1.753846
50.54,3.38586
50.62,4.857722
50.7,6.105882
50.78,7.015946
50.86,7.488772
50.94,7.492585
51.02,7.007049
51.1,6.077919
51.18,4.86662
51.26,3.346457
51.34,1.68521
51.42,0.073533
51.5,-1.41104
51.58,-2.643948
51.66,-3.542572
51.74,-4.072595
51.82,-4.131063
51.9,-3.77263
51.99,-2.968063
52.07,-1.849549
52.15,-0.450135
52.23,1.161542
52.31,2.791013
52.39,4.397606
52.47,5.692795
52.55,6.729962
52.63,7.36421
52.71,7.516735
52.79,7.191349
52.88,6.393137
52.96,5.181837
53.04,3.748106
53.12,2.164391
53.2,0.54763
53.28,-1.00685
53.36,-2.305851
53.44,-3.29599
53.52,-3.939136
53.6,-4.134876
53.68,-3.888294
53.77,-3.199392
53.85,-2.159682
53.93,-0.837802
54.01,0.701426
54.09,2.324542
54.17,3.946388
54.25,5.317838
54.33,6.492278
54.41,7.238378
54.49,7.51038
54.57,7.300658
54.66,6.638447
54.74,5.536457
54.82,4.192969
54.9,2.623236
54.98,1.007746
55.06,-0.592491
55.14,-1.972839
55.22,-3.05068
55.3,-3.792967
55.38,-4.12725
55.46,-4.009043
55.54,-3.470123
55.62,-2.590564
55.7,-1.329694
55.78,0.120561
55.86,1.760201
55.94,3.383317
56.02,4.829759
56.1,6.085546
56.19,6.961291
56.27,7.398528
56.35,7.352771
56.43,6.854524
56.51,5.926666
56.59,4.675964
56.67,3.162157
56.75,1.568274
56.83,-0.06501
56.92,-1.544499
57,-2.740547
57.08,-3.597227
57.16,-4.072595
57.24,-4.082763
