Temps [s],Tension [V]
0.03,-3.752293
0.11,-3.41801
0.19,-2.9401
0.28,-2.209252
0.36,-1.296647
0.44,-0.245498
0.52,0.936568
0.6,2.131344
0.68,3.254943
0.76,4.201866
0.84,4.900938
0.92,5.391558
1,5.626701
1.08,5.725842
1.16,5.737281
1.24,5.56442
1.33,5.256828
1.41,4.668338
1.49,3.793863
1.57,2.740172
1.65,1.578443
1.73,0.396377
1.81,-0.711969
1.9,-1.6805
1.97,-2.415161
2.05,-3.004923
2.13,-3.482833
2.22,-3.836182
2.3,-4.04209
2.38,-4.052258
2.46,-3.767546
2.54,-3.260401
2.62,-2.455834
2.7,-1.486031
2.78,-0.35862
2.86,0.724305
2.94,1.771641
3.02,2.740172
3.1,3.621002
3.18,4.369643
3.26,4.98991
3.35,5.488157
3.43,5.892348
3.51,6.038517
3.59,5.939376
3.67,5.541541
3.75,4.841199
3.83,3.945117
3.91,2.949893
3.99,1.908913
4.07,0.874287
4.15,-0.108226
4.24,-1.022102
4.32,-1.906745
4.4,-2.730378
4.48,-3.414197
4.56,-3.946762
4.64,-4.189531
4.72,-4.15267
4.8,-3.83364
4.88,-3.22227
4.97,-2.469815
5.04,-1.611864
5.13,-0.675109
5.21,0.270544
5.29,1.254328
5.37,2.240654
5.45,3.219353
5.53,4.154838
5.61,4.970845
5.69,5.600009
5.77,5.96861
5.86,6.046143
5.94,5.851674
6.02,5.399185
6.1,4.81832
6.18,4.09637
6.26,3.290532
6.34,2.416057
6.42,1.442442
6.5,0.409087
6.58,-0.699259
6.66,-1.75295
6.74,-2.629966
6.82,-3.340477
6.9,-3.754835
6.98,-3.946762
7.07,-3.903547
7.15,-3.655694
7.23,-3.278196
7.31,-2.718939
7.39,-2.063083
7.47,-1.224198
7.55,-0.225161
7.63,0.876829
7.72,2.043643
7.79,3.102418
7.87,4.0468
7.96,4.825946
8.03,5.349614
8.12,5.671187
8.2,5.798291
8.28,5.733468
8.36,5.531373
8.44,5.141164
8.52,4.569197
8.6,3.79005
8.68,2.796098
8.76,1.70936
8.85,0.524752
8.92,-0.513687
9.01,-1.505097
9.09,-2.32873
9.17,-2.923576
9.25,-3.39386
9.32,-3.684928
9.4,-3.838724
9.49,-3.874313
9.57,-3.630274
9.65,-3.181597
9.73,-2.491423
9.81,-1.56992
9.89,-0.518771
9.97,0.636603
10.05,1.723341
10.14,2.756695
10.22,3.628628
10.3,4.381083
10.38,5.021686
10.46,5.523747
10.54,5.861843
10.62,5.999115
10.7,5.863114
10.78,5.47926
10.86,4.851367
10.94,4.030276
11.02,3.069371
11.1,2.024577
11.18,1.022999
11.26,0.003626
11.35,-0.972532
11.43,-1.782183
11.51,-2.579125
11.59,-3.245149
11.67,-3.791696
11.75,-4.11581
11.83,-4.136147
11.91,-3.8705
11.99,-3.33158
12.07,-2.600732
12.15,-1.727529
12.23,-0.780605
12.31,0.148524
12.39,1.101803
12.47,2.107195
12.56,3.082081
12.63,3.995958
12.71,4.824675
12.8,5.488157
12.88,5.917768
12.96,6.061396
13.04,5.892348
13.12,5.497055
13.2,4.87933
13.28,4.147212
13.36,3.373149
13.45,2.507572
13.53,1.594966
13.61,0.617537
13.69,-0.446322
13.77,-1.53306
13.85,-2.530825
13.93,-3.298533
14.01,-3.798051
14.09,-4.014127
14.17,-3.942949
14.25,-3.653152
14.33,-3.279467
14.42,-2.735462
14.5,-2.098672
14.58,-1.314441
14.66,-0.375144
14.74,0.700155
14.82,1.818669
14.9,2.949893
14.98,3.943846
15.06,4.742058
15.14,5.282249
15.23,5.598738
15.31,5.691524
15.39,5.654663
15.47,5.461466
15.56,5.110659
15.64,4.584449
15.72,3.852331
15.8,2.901594
15.88,1.831379
15.96,0.679818
16.04,-0.438696
16.12,-1.4479
16.2,-2.298225
16.28,-2.941371
16.36,-3.396403
16.44,-3.65061
16.52,-3.747209
16.6,-3.714162
16.68,-3.495544
16.76,-3.119316
16.85,-2.458376
16.93,-1.611864
17.01,-0.601389
17.09,0.54763
17.17,1.667415
17.25,2.703312
17.33,3.624815
17.41,4.293381
17.49,4.91619
17.57,5.334362
17.65,5.668645
17.73,5.841506
17.81,5.791936
17.89,5.517391
17.98,4.941611
18.06,4.143399
18.14,3.159615
18.22,2.081774
18.3,1.007746
18.38,-0.038318
18.46,-0.956008
18.54,-1.77837
18.62,-2.490152
18.7,-3.065932
18.78,-3.5896
18.86,-3.923884
18.94,-4.01794
19.02,-3.851434
19.1,-3.390047
19.19,-2.689705
19.27,-1.759305
19.35,-0.761539
19.43,0.250207
19.51,1.242888
19.59,2.144055
19.67,3.046492
19.76,3.910799
19.84,4.693758
19.92,5.371222
20,5.837693
20.08,6.04233
20.16,5.953358
20.24,5.519933
20.32,4.87933
20.41,4.097641
20.48,3.260027
20.56,2.375384
20.65,1.413208
20.73,0.514583
20.81,-0.446322
20.89,-1.423751
20.97,-2.30458
21.05,-3.132026
21.13,-3.706536
21.21,-4.037006
21.29,-4.053529
21.37,-3.782798
21.46,-3.289635
21.53,-2.6592
21.62,-1.933437
21.7,-1.114888
21.78,-0.249311
21.86,0.670921
21.94,1.728425
22.02,2.801182
22.1,3.820555
22.18,4.722992
22.27,5.401727
22.35,5.771599
22.42,5.877095
22.51,5.708047
22.59,5.364867
22.67,4.935256
22.75,4.391251
22.83,3.720143
22.91,2.913033
22.99,1.955941
23.07,0.883185
23.15,-0.239143
23.23,-1.330965
23.32,-2.298225
23.4,-3.030343
23.48,-3.519693
23.56,-3.758649
23.64,-3.782798
23.72,-3.608666
23.8,-3.332851
23.88,-2.932473
23.96,-2.357964
24.05,-1.595341
24.13,-0.670025
24.21,0.397648
24.29,1.617845
24.37,2.755424
24.45,3.743021
24.53,4.518355
24.61,5.047107
24.69,5.39283
24.77,5.55298
24.85,5.626701
24.93,5.574588
25.01,5.363596
25.09,4.930171
25.17,4.234913
25.26,3.290532
25.34,2.18727
25.42,1.03698
25.5,-0.092973
25.58,-1.081841
25.66,-1.927082
25.74,-2.580396
25.82,-3.088811
25.9,-3.46631
25.98,-3.715433
