Longueur [cm],Masse [g],Start [cm],Stop [cm]
25,121.7,8.9,9.4
25,221.7,8.9,9.7
25,321.7,8.9,10.1
25,421.7,8.9,10.4
25,521.7,8.9,10.7
25,621.7,8.9,11.1
25,721.7,8.9,11.5
25,821.7,8.9,11.8
25,921.7,9,12.2
25,1021.7,9,12.5
25,1121.7,9,12.9
25,1221.7,9,13.2
25,1321.7,9,13.5
25,1421.7,9,13.9
25,1521.7,9,14.2
25,1621.7,9,14.6
