Longueur [cm],Masse [g],Start [cm],Stop [cm]
25.0,121.7,9.0,10.0
25.0,221.7,9.0,10.8
25.0,321.7,9.0,11.6
25.0,421.7,9.0,12.4
25.0,521.7,9.0,13.2
25.0,621.7,9.0,14.0
25.0,721.7,9.0,14.9
25.0,821.7,9.0,15.6
25.0,921.7,9.0,16.5
25.0,1021.7,9.0,17.3
25.0,1121.7,9.0,18.1
25.0,1221.7,9.0,19.0
25.0,1321.7,9.0,19.8
25.0,1421.7,9.0,20.7
25.0,1521.7,9.0,22.4
25.0,1621.7,9.0,23.3
