Temps [s],Tension [V]
0.02,-2.357964
0.1,0.195553
0.18,3.333747
0.26,5.254286
0.34,3.777339
0.43,1.447526
0.51,-1.764389
0.59,-3.794238
0.67,-4.269606
0.75,-3.569264
0.83,-2.216879
0.91,-0.87212
0.99,1.485657
1.07,3.834536
1.15,4.491663
1.23,2.932099
1.31,0.247665
1.4,-1.458069
1.48,-4.239101
1.56,-5.346176
1.64,-5.062734
1.72,-2.618527
1.8,0.181571
1.88,3.3007
1.96,5.560607
2.05,3.807844
2.13,1.525059
2.21,-1.50891
2.29,-3.787882
2.37,-4.43357
2.45,-3.630274
2.53,-2.12028
2.61,-0.7501
2.7,1.500909
2.77,3.636254
2.85,4.294652
2.93,2.850752
3.01,0.306133
3.1,-1.383077
3.18,-3.786611
3.26,-5.197464
3.34,-4.967406
3.42,-2.704958
3.5,0.053196
3.58,3.037595
3.66,5.600009
3.74,4.176446
3.83,1.598779
3.91,-1.287749
3.99,-3.649339
4.07,-4.513645
4.15,-3.73577
4.23,-2.116467
4.31,-0.771708
4.39,1.381432
4.47,3.547281
4.55,4.252708
4.64,2.777032
4.72,0.274357
4.8,-1.33732
4.88,-3.496815
4.96,-5.19238
5.04,-5.014435
5.12,-2.942642
5.2,-0.040861
5.28,2.735088
5.36,5.528831
5.44,4.480224
5.52,1.760201
5.6,-0.986513
5.68,-3.623918
5.76,-4.77675
5.85,-4.11581
5.93,-2.135532
6.01,-0.83526
6.09,1.153916
6.17,3.352813
6.25,4.195511
6.33,2.920659
6.41,0.551443
6.49,-1.144122
6.57,-2.755799
6.65,-4.672525
6.74,-4.89877
6.82,-3.203205
6.9,-0.350994
6.98,2.323271
7.06,5.213613
7.14,4.749684
7.22,1.877137
7.3,-0.680193
7.38,-3.420552
7.46,-4.78819
7.55,-4.456449
7.63,-2.434226
7.71,-0.956008
7.79,0.908605
7.87,3.097334
7.95,4.0468
8.03,2.928286
8.11,0.580677
8.19,-1.055149
8.27,-2.472357
8.35,-4.128521
8.43,-4.532711
8.51,-3.167616
8.59,-0.668754
8.67,1.882221
8.75,4.635291
8.83,5.010247
8.91,2.229214
8.99,-0.264563
9.08,-2.983315
9.16,-4.854284
9.24,-5.010622
9.32,-3.154905
9.4,-1.299189
9.48,0.489163
9.56,2.878715
9.64,3.997229
9.72,3.224438
9.8,1.127224
9.88,-0.924232
9.96,-2.252468
10.04,-3.695097
10.12,-4.18826
10.2,-3.114232
10.28,-1.003037
10.36,1.500909
10.44,3.804031
10.52,4.997537
10.61,2.70077
10.68,0.165048
10.76,-2.057999
10.84,-4.307737
10.92,-4.845387
11,-3.701452
11.08,-1.431377
11.16,0.050654
11.24,2.409702
11.33,3.829452
11.41,3.37442
11.49,1.45261
11.57,-0.672567
11.65,-2.033849
11.73,-3.559095
11.81,-4.29884
11.89,-3.437076
11.98,-1.280123
12.06,1.261954
12.14,3.423991
12.22,4.764936
12.3,2.902865
12.38,0.30232
12.46,-1.892764
12.54,-4.497122
12.62,-5.053837
12.7,-4.236559
12.78,-1.671603
12.86,-0.054842
12.94,2.357589
13.02,3.845976
13.1,3.388402
13.18,1.644537
13.26,-0.502248
13.34,-2.018597
13.43,-3.447244
13.51,-3.851434
13.59,-3.065932
13.67,-1.292834
13.75,1.021728
13.83,3.115128
13.91,4.383625
13.99,3.199017
14.07,0.476452
14.16,-1.389433
14.23,-3.95566
14.32,-4.920378
14.4,-4.275961
14.48,-1.805062
14.56,-0.225161
14.64,2.188541
14.72,3.898088
