Longueur [cm],Masse [g],Start [cm],Stop [cm]
40.0,621.7,9.0,12.4
37.5,621.7,9.1,12.2
35.0,621.7,9.2,12.1
32.5,621.7,9.2,11.8
30.0,621.7,9.1,11.7
27.5,621.7,8.9,11.3
25.0,621.7,8.9,11.1
22.5,621.7,9.1,11.0
20.0,621.7,8.8,10.6
17.5,621.7,9.0,10.5
15.0,621.7,9.0,10.3
