Temps [s],Tension [V]
0.02,1.603863
0.1,2.611797
0.18,3.544739
0.26,4.35312
0.35,5.105575
0.43,5.794478
0.5,6.292725
0.59,6.633363
0.67,6.599045
0.75,6.248239
0.83,5.596196
0.91,4.661982
0.99,3.703619
1.07,2.644844
1.15,1.594966
1.23,0.599743
1.32,-0.422172
1.39,-1.347488
1.48,-2.281702
1.56,-3.13584
1.64,-3.739583
1.72,-4.125979
1.8,-4.199699
1.88,-3.946762
1.96,-3.451057
2.05,-2.726565
2.13,-1.87624
2.21,-0.954737
2.29,0.03286
2.37,1.017915
2.45,2.05254
2.53,3.089708
2.61,4.114165
2.69,5.130996
2.77,5.889806
2.85,6.438894
2.93,6.606671
3.01,6.449063
3.1,6.075377
3.18,5.4424
3.26,4.789086
3.34,4.013753
3.42,3.126568
3.5,2.179644
3.58,1.067485
3.66,-0.095515
3.75,-1.200048
3.83,-2.257552
3.91,-3.055764
3.99,-3.635358
4.07,-3.956931
4.15,-3.950575
4.23,-3.792967
4.31,-3.387505
4.39,-2.877819
4.48,-2.234673
4.56,-1.402143
4.64,-0.48064
4.72,0.637874
4.8,1.789435
4.88,2.991838
4.96,4.200595
5.04,5.105575
5.13,5.790665
5.21,6.17706
5.29,6.248239
5.37,6.165621
5.45,5.976236
5.53,5.66229
5.61,5.218697
5.69,4.495476
5.77,3.60702
5.85,2.492319
5.93,1.245431
6.02,0.03286
6.09,-1.103449
6.17,-2.02241
6.25,-2.765967
6.34,-3.298533
6.41,-3.607395
6.49,-3.805677
6.58,-3.791696
6.65,-3.641713
6.74,-3.282009
6.82,-2.663013
6.9,-1.852091
6.98,-0.778063
7.06,0.396377
7.14,1.614032
7.22,2.791013
7.3,3.783695
7.38,4.604786
7.46,5.269539
7.55,5.695337
7.63,6.086817
7.71,6.306706
7.79,6.368987
7.87,6.173247
7.95,5.641953
8.03,4.85518
8.11,3.823097
8.19,2.684246
8.28,1.52633
8.35,0.421797
8.44,-0.579781
8.52,-1.458069
8.6,-2.248655
8.68,-2.923576
8.76,-3.513338
8.84,-3.873042
8.92,-4.031922
9,-3.917528
9.08,-3.510796
9.16,-2.846043
9.24,-1.97411
9.32,-0.964906
9.4,0.116748
9.49,1.221281
9.57,2.255906
9.65,3.201559
9.73,4.124333
9.81,4.897124
9.89,5.65085
9.98,6.246967
10.05,6.515157
10.14,6.577438
10.22,6.217734
10.3,5.657206
10.38,4.872975
10.46,3.951472
10.54,3.029969
10.62,1.995343
10.7,0.972157
10.78,-0.029421
10.86,-1.052607
10.94,-2.009699
11.02,-2.840959
11.1,-3.510796
11.18,-3.908631
11.26,-4.067511
11.35,-3.913715
11.43,-3.482833
11.51,-2.882903
11.59,-2.126635
11.67,-1.30046
11.75,-0.331928
11.83,0.700155
11.91,1.733509
11.99,2.830416
12.08,3.895546
12.15,4.848825
12.23,5.639411
12.31,6.156724
12.39,6.461773
12.48,6.402034
12.56,6.131303
12.64,5.685168
12.72,5.072528
12.8,4.401419
12.88,3.552366
12.96,2.594002
13.04,1.514891
13.12,0.335367
13.2,-0.7984
13.28,-1.819044
13.36,-2.684621
13.45,-3.293448
13.53,-3.714162
13.61,-3.84635
13.69,-3.782798
13.77,-3.532404
13.85,-3.081185
13.93,-2.544807
14.01,-1.750408
14.09,-0.828905
14.17,0.20445
14.25,1.389058
14.34,2.563498
14.41,3.661675
14.49,4.62258
14.57,5.341988
14.66,5.887264
14.74,6.133845
14.82,6.212649
14.9,6.17706
14.98,5.924124
15.06,5.538999
15.14,4.902209
15.22,4.036631
15.3,2.988024
15.39,1.800874
15.47,0.631519
15.54,-0.484453
15.63,-1.48476
15.71,-2.285515
15.79,-2.937558
15.87,-3.382421
15.95,-3.691283
16.03,-3.812032
16.11,-3.717975
16.2,-3.404029
16.28,-2.84223
16.35,-2.070709
16.44,-1.105991
16.52,-0.010356
16.6,1.162813
16.68,2.278785
16.76,3.289261
16.84,4.205679
16.92,4.961947
17.01,5.582214
17.09,6.014367
17.17,6.339753
17.25,6.374071
17.33,6.189771
17.41,5.741094
17.49,5.028041
17.58,4.114165
17.66,3.057932
17.74,1.994072
17.82,0.907334
17.9,-0.12602
17.98,-1.105991
18.06,-1.960129
18.14,-2.745631
18.22,-3.343019
18.31,-3.766275
18.38,-3.94422
18.47,-3.874313
18.55,-3.523506
18.63,-2.938829
18.71,-2.158411
18.79,-1.233095
18.87,-0.207367
18.95,0.860306
19.03,1.882221
19.11,2.902865
19.19,3.879023
19.28,4.750955
19.36,5.457653
19.44,6.091901
19.52,6.417287
19.6,6.483381
19.69,6.283828
19.76,5.791936
19.85,5.11193
19.93,4.261605
20.01,3.299429
20.09,2.296579
20.17,1.291188
20.25,0.231142
20.33,-0.794586
20.41,-1.773286
20.49,-2.588022
20.58,-3.25913
20.65,-3.684928
20.74,-3.856518
20.82,-3.80949
20.9,-3.485375
20.98,-2.970605
21.06,-2.300767
21.14,-1.441545
21.22,-0.53021
21.3,0.476452
21.38,1.549209
21.46,2.61561
21.55,3.71633
21.63,4.656898
21.71,5.465279
21.79,6.030891
21.87,6.337211
21.95,6.419829
22.03,6.202481
22.12,5.813543
22.19,5.273352
22.28,4.520897
22.36,3.689638
22.44,2.707125
22.52,1.597508
22.6,0.504415
22.68,-0.57851
22.76,-1.575004
22.84,-2.460918
22.92,-3.123129
23.01,-3.550198
23.09,-3.790424
23.17,-3.784069
23.25,-3.547656
23.33,-3.126942
23.41,-2.539722
23.49,-1.773286
23.58,-0.825091
23.66,0.208263
23.74,1.310253
23.82,2.440207
23.9,3.471019
23.98,4.419214
24.06,5.226323
24.14,5.763973
24.22,6.147826
24.3,6.277472
24.38,6.224089
24.46,5.996573
24.55,5.523747
24.63,4.857722
24.71,3.98579
24.79,2.976585
24.87,1.940689
24.95,0.799296
25.03,-0.281087
25.11,-1.287749
25.19,-2.13299
25.27,-2.819351
25.35,-3.340477
25.43,-3.658236
25.51,-3.792967
25.59,-3.672218
25.67,-3.360813
25.75,-2.81808
25.84,-2.061812
25.92,-1.15429
26,-0.142544
26.08,0.998849
26.16,2.108466
26.24,3.146904
26.33,4.139585
26.41,4.920003
26.49,5.566962
26.57,6.014367
26.65,6.268575
26.73,6.356277
26.81,6.142742
26.89,5.747449
26.97,5.114472
27.05,4.248895
27.13,3.295616
27.21,2.234299
27.29,1.153916
27.38,0.090056
27.46,-0.902625
27.54,-1.803791
27.62,-2.582938
27.7,-3.196849
27.78,-3.617563
27.86,-3.815845
27.94,-3.770088
28.02,-3.477749
28.1,-2.984586
28.18,-2.277889
28.26,-1.417395
28.34,-0.461574
28.43,0.614995
28.51,1.676313
28.59,2.742714
28.67,3.732853
28.75,4.604786
28.83,5.350885
28.91,5.891077
28.99,6.26222
29.07,6.36009
29.15,6.234257
29.23,5.902516
29.31,5.286062
29.39,4.559028
29.48,3.63117
29.55,2.679162
29.63,1.655976
29.72,0.573051
29.79,-0.433611
29.88,-1.454256
29.96,-2.310936
30.04,-2.966791
30.12,-3.487917
30.2,-3.730686
30.28,-3.751022
30.36,-3.57689
30.44,-3.16126
30.52,-2.586751
30.6,-1.820315
30.68,-0.926774
30.76,0.054467
30.84,1.143747
30.92,2.202523
31,3.266382
31.08,4.215848
31.16,5.02677
31.24,5.692795
31.33,6.133845
31.41,6.34738
31.49,6.31179
31.57,6.014367
31.65,5.565691
31.73,4.922545
31.81,4.091286
31.89,3.157073
31.97,2.135158
32.05,1.066214
32.13,-0.057384
32.22,-1.084383
32.29,-1.932166
32.38,-2.693518
32.46,-3.23371
32.54,-3.608666
32.62,-3.742125
32.7,-3.65061
32.78,-3.360813
32.86,-2.832061
32.95,-2.111382
33.03,-1.212758
33.11,-0.208638
33.19,0.842511
33.27,1.933062
33.35,3.014716
33.43,3.967995
33.51,4.81832
33.6,5.499597
33.68,5.958442
33.76,6.244425
33.83,6.264762
33.91,6.093172
33.99,5.720757
34.08,5.119556
34.16,4.364559
34.24,3.406196
34.32,2.421141
34.4,1.338216
34.48,0.250207
34.57,-0.800942
34.65,-1.732613
34.73,-2.509218
34.81,-3.11169
34.89,-3.527319
34.97,-3.715433
35.05,-3.684928
35.13,-3.421823
35.21,-2.946455
35.29,-2.300767
35.38,-1.463153
35.45,-0.526397
35.53,0.490434
35.61,1.568274
35.7,2.621965
35.78,3.646422
35.86,4.550131
35.94,5.28352
36.02,5.856759
36.1,6.170705
36.18,6.309248
36.26,6.208836
36.34,5.885993
36.43,5.369951
36.5,4.654356
36.59,3.791321
36.66,2.822789
36.74,1.750033
36.83,0.654398
36.9,-0.389125
36.99,-1.369096
37.07,-2.213066
37.15,-2.896884
37.23,-3.367169
37.31,-3.634087
37.39,-3.686199
37.47,-3.505712
37.55,-3.129484
37.64,-2.563872
37.72,-1.798707
37.8,-0.914064
37.88,0.11929
37.96,1.206028
38.04,2.299122
38.12,3.322308
38.2,4.228558
38.28,5.025499
38.36,5.620345
38.45,6.038517
38.53,6.273659
38.61,6.230444
38.69,6.024536
38.77,5.56442
38.85,4.880601
38.93,4.049342
39.01,3.09225
39.09,2.06525
39.17,0.991223
39.25,-0.087889
39.34,-1.070402
39.42,-1.93725
39.49,-2.618527
39.58,-3.159989
39.65,-3.51588
39.74,-3.67476
39.82,-3.61375
39.9,-3.330309
39.98,-2.825706
40.06,-2.110111
40.14,-1.225469
40.22,-0.226432
40.3,0.869203
40.39,1.948315
40.47,2.947351
40.55,3.906985
40.63,4.724263
40.71,5.39283
40.8,5.924124
40.88,6.221547
40.96,6.297809
41.04,6.123677
41.12,5.696608
41.2,5.071257
41.28,4.236184
41.36,3.304513
41.44,2.304206
41.53,1.231449
41.6,0.227329
