Longueur [cm],Masse [g],Start [cm],Stop [cm]
25.0,121.7,9.0,9.1
25.0,221.7,9.0,9.2
25.0,321.7,9.0,9.4
25.0,421.7,9.0,9.5
25.0,521.7,9.0,9.6
25.0,621.7,9.0,9.7
25.0,721.7,9.0,9.9
25.0,821.7,9.0,10.0
25.0,921.7,9.0,10.1
25.0,1021.7,9.0,10.2
25.0,1121.7,9.0,10.4
25.0,1221.7,9.0,10.5
25.0,1321.7,9.0,10.6
25.0,1421.7,9.0,10.7
25.0,1521.7,9.0,10.9
25.0,1621.7,9.0,11.0
