Temps [s],Tension [V]
0.02,-7.147237
0.1,-7.301033
0.19,-6.943871
0.26,-6.065584
0.35,-4.657273
0.43,-2.877819
0.51,-0.893727
0.59,1.001391
0.67,2.714751
0.75,4.261605
0.83,5.396643
0.91,6.086817
0.99,6.193584
1.07,5.743636
1.15,4.784002
1.24,3.443056
1.32,1.737322
1.4,-0.12602
1.48,-2.033849
1.56,-3.83364
1.64,-5.40083
1.72,-6.5257
1.81,-7.105293
1.88,-7.126901
1.97,-6.646448
2.05,-5.789768
2.13,-4.617871
2.21,-3.168887
2.29,-1.455527
2.37,0.415442
2.46,2.329626
2.53,3.931135
2.61,5.158958
2.69,5.898703
2.77,6.146555
2.86,5.847861
2.94,4.987368
3.02,3.680741
3.1,2.016951
3.18,0.236226
3.26,-1.566107
3.34,-3.176513
3.42,-4.663628
3.51,-5.91433
3.58,-6.764655
3.66,-7.187911
3.75,-7.013778
3.82,-6.307081
3.91,-5.061463
3.99,-3.495544
4.07,-1.716089
4.15,0.051925
4.23,1.779267
4.31,3.410009
4.39,4.758581
4.47,5.695337
4.55,6.107153
4.63,5.96861
4.71,5.305128
4.79,4.185343
4.88,2.655012
4.96,0.848866
5.04,-1.098365
5.12,-2.936287
5.2,-4.478056
5.28,-5.723674
5.36,-6.518073
5.44,-6.859983
5.52,-6.791347
5.61,-6.2931
5.68,-5.435148
5.76,-4.134876
5.84,-2.534638
5.92,-0.729763
6.01,1.181879
6.09,2.963875
6.17,4.306092
6.25,5.380119
6.33,5.947002
6.41,5.967339
6.49,5.42969
6.58,4.383625
6.66,2.975314
6.74,1.333132
6.81,-0.396751
6.9,-2.205439
6.98,-3.860332
7.06,-5.336007
7.14,-6.434185
7.22,-7.041741
7.3,-7.068433
7.38,-6.561289
7.46,-5.588944
7.54,-4.326803
7.62,-2.800285
7.7,-1.14158
7.78,0.607369
7.86,2.287682
7.94,3.862499
8.02,5.035668
8.1,5.766515
8.18,5.94446
8.26,5.607635
8.34,4.819591
8.43,3.537113
8.51,1.892389
8.59,0.081159
8.67,-1.698295
8.75,-3.397674
8.83,-4.795816
8.91,-5.866031
8.99,-6.622299
9.08,-6.92989
9.16,-6.801515
9.24,-6.069397
9.32,-4.884789
9.4,-3.435805
9.48,-1.624575
9.56,0.163777
9.64,1.96738
9.72,3.516777
9.8,4.770021
9.89,5.605093
9.97,5.938105
10.05,5.743636
10.13,5.039481
10.21,3.885378
10.29,2.435123
10.37,0.719221
10.45,-1.085654
10.53,-2.910866
10.61,-4.575926
10.69,-5.82917
10.77,-6.670598
10.86,-6.901927
10.93,-6.735421
11.01,-6.124051
11.1,-5.122473
11.18,-3.805677
11.26,-2.216879
11.34,-0.462845
11.42,1.401768
11.5,3.032511
11.58,4.405233
11.66,5.34453
11.74,5.835151
11.82,5.819899
11.91,5.249202
11.99,4.163735
12.07,2.751611
12.15,0.992494
12.23,-0.715782
12.31,-2.415161
12.39,-3.93151
12.47,-5.301689
12.55,-6.335044
12.64,-6.940058
12.71,-7.018863
12.8,-6.510447
12.88,-5.437691
12.96,-4.043361
13.04,-2.412619
13.13,-0.62808
13.21,1.104345
13.29,2.766864
13.37,4.196782
13.45,5.242847
13.53,5.830067
13.61,5.903787
13.69,5.409353
13.77,4.439551
13.86,3.066829
13.93,1.460236
14.01,-0.350994
14.09,-2.176205
14.18,-3.803135
14.26,-5.123744
14.34,-6.054144
14.42,-6.573999
14.5,-6.68585
14.58,-6.365549
14.66,-5.656309
14.74,-4.513645
14.83,-3.025259
14.91,-1.240721
14.99,0.590846
15.07,2.310561
15.15,3.834536
15.23,4.968303
15.31,5.678813
15.39,5.864385
15.47,5.504681
15.55,4.65944
15.64,3.342644
15.71,1.823753
