Temps [s],Tension [V]
27.09,-3.50317
27.18,-4.525085
27.25,-3.80949
27.34,-2.185103
27.42,0.116748
27.5,2.506301
27.58,3.993416
27.66,3.427804
27.74,1.533956
27.82,-0.371331
27.9,-1.549583
27.98,-2.46346
28.07,-2.356693
28.15,-1.408498
28.23,-0.408191
28.31,1.3433
28.39,3.220625
28.47,3.868854
28.55,2.511385
28.63,0.500602
28.71,-0.88483
28.79,-1.906745
28.87,-2.783762
28.95,-2.296954
29.03,-1.193693
29.11,0.162506
29.19,2.23557
29.28,3.829452
29.36,3.427804
29.44,1.621658
29.52,-0.315405
29.6,-1.492387
29.68,-2.481255
29.76,-2.486339
29.84,-1.59407
29.92,-0.626809
30,1.068756
30.08,2.984211
30.16,3.764629
30.25,2.644844
30.32,0.711594
30.41,-0.752642
30.49,-1.770744
30.57,-2.567685
30.65,-2.261365
30.73,-1.189879
30.81,0.070991
30.89,2.055082
30.97,3.629899
31.05,3.47229
31.13,1.805959
31.21,-0.190843
31.29,-1.436461
31.37,-2.466002
31.45,-2.641406
31.53,-1.749136
31.62,-0.705614
31.7,0.907334
31.78,2.796098
31.86,3.708703
31.94,2.765593
32.02,0.869203
32.1,-0.701801
32.18,-1.639827
32.26,-2.56133
32.34,-2.326188
32.42,-1.370367
32.5,-0.132375
32.58,1.812314
32.67,3.451954
32.75,3.473561
32.83,1.93052
32.91,-0.051029
32.99,-1.234366
33.07,-2.26772
33.15,-2.552433
33.23,-1.722445
33.31,-0.785689
33.39,0.6938
33.47,2.535535
33.55,3.605749
33.63,2.913033
33.71,1.038251
33.79,-0.634436
33.88,-1.609322
33.96,-2.478713
34.04,-2.27916
34.12,-1.404685
34.2,-0.213722
34.28,1.691565
34.36,3.340102
34.45,3.453225
34.52,2.025848
34.61,0.10658
34.69,-1.158104
34.77,-2.140616
34.85,-2.529554
34.93,-1.751679
35.01,-0.821278
35.09,0.599743
35.17,2.474525
35.25,3.490085
35.33,2.888883
35.41,1.062401
35.49,-0.595033
35.58,-1.572462
35.66,-2.357964
35.74,-2.207981
35.82,-1.262329
35.9,-0.22389
35.98,1.57463
36.06,3.23969
36.14,3.455767
36.22,2.055082
36.3,0.212076
36.38,-0.996682
36.46,-1.988092
36.55,-2.425329
36.63,-1.780912
36.7,-0.83526
36.79,0.484078
36.87,2.362673
36.95,3.427804
37.03,2.900323
37.11,1.230178
37.19,-0.514958
37.27,-1.536873
37.35,-2.457105
37.43,-2.453292
37.51,-1.541957
37.59,-0.415817
37.68,1.397955
37.76,3.083352
37.84,3.469748
37.92,2.160578
38,0.297236
38.08,-0.966177
38.17,-1.977923
38.25,-2.391011
38.33,-1.730071
38.41,-0.858138
38.49,0.440863
38.57,2.269888
38.65,3.323579
38.73,2.895239
38.81,1.190776
38.89,-0.46793
38.97,-1.463153
39.05,-2.258823
39.14,-2.178748
39.22,-1.306815
39.3,-0.265834
39.38,1.381432
39.46,2.986753
39.54,3.427804
39.62,2.202523
39.7,0.377311
39.78,-0.882288
