Longueur [cm],Masse [g],Start [cm],Stop [cm]
40.0,621.7,9.0,10.1
37.5,621.7,9.2,10.3
35.0,621.7,9.0,10.0
32.5,621.7,9.1,10.1
30.0,621.7,8.8,9.7
27.5,621.7,9.1,9.9
25.0,621.7,9.0,10.0
22.5,621.7,9.2,10.1
20.0,621.7,9.0,9.8
17.5,621.7,9.1,9.8
15.0,621.7,9.0,9.6
