Temps [s],Tension [V]
27.6,6.56854
27.68,7.443015
27.76,8.105226
27.84,8.496706
27.93,8.698801
28.01,8.651773
28.09,8.383583
28.17,7.920925
28.25,7.200246
28.33,6.291454
28.41,5.186921
28.49,3.960369
28.57,2.665181
28.66,1.350927
28.74,0.172674
28.82,-0.882288
28.9,-1.7288
28.98,-2.357964
29.06,-2.771052
29.14,-2.921034
29.22,-2.811725
29.3,-2.427871
29.38,-1.747865
29.47,-0.855596
29.55,0.224787
29.63,1.444984
29.71,2.674078
29.79,3.946388
29.87,5.119556
29.95,6.208836
30.03,7.144321
30.11,7.851018
30.2,8.420444
30.28,8.729306
30.36,8.749643
30.44,8.566613
30.52,8.111581
30.6,7.413781
30.68,6.510072
30.76,5.471634
30.84,4.290839
30.93,3.000735
31.01,1.729696
31.09,0.575593
31.17,-0.527668
31.25,-1.441545
31.33,-2.163495
31.41,-2.652845
31.49,-2.868921
31.57,-2.820622
31.65,-2.492694
31.73,-1.901661
31.81,-1.098365
31.9,-0.086618
31.98,1.063672
32.06,2.267346
32.14,3.558721
32.22,4.801797
32.3,5.94446
32.38,6.91045
32.46,7.695952
32.54,8.292069
32.62,8.616183
32.7,8.722951
32.79,8.556445
32.87,8.17132
32.95,7.577745
33.03,6.747757
33.11,5.757618
33.19,4.635291
33.27,3.407467
33.35,2.156765
33.43,0.916232
33.51,-0.221348
33.6,-1.217842
33.68,-1.99826
33.76,-2.52447
33.84,-2.814267
33.92,-2.84223
34,-2.595648
34.08,-2.113925
34.16,-1.381806
34.24,-0.446322
34.32,0.672192
34.41,1.887305
34.49,3.11767
34.57,4.412859
34.65,5.573317
34.73,6.574895
34.81,7.472249
34.89,8.095058
34.97,8.534837
35.05,8.719138
35.14,8.664483
35.21,8.383583
35.3,7.851018
35.38,7.098563
35.46,6.163079
35.54,4.984826
35.62,3.844704
35.7,2.569853
35.78,1.340758
35.86,0.208263
35.94,-0.844157
36.02,-1.685585
36.11,-2.336356
36.19,-2.7075
36.27,-2.814267
36.35,-2.674453
36.43,-2.260094
36.51,-1.591528
36.59,-0.711969
36.67,0.358246
36.76,1.575901
36.84,2.8355
36.92,4.115436
37,5.293689
37.08,6.355006
37.17,7.242191
37.25,7.942533
37.33,8.450948
37.41,8.692446
37.49,8.691175
37.57,8.442051
37.65,7.936178
37.73,7.258714
37.81,6.339753
37.9,5.268268
37.97,4.102725
38.06,2.844397
38.14,1.608948
38.22,0.406545
38.3,-0.668754
38.38,-1.547041
38.46,-2.248655
38.54,-2.694789
38.62,-2.881632
38.7,-2.777407
38.78,-2.404992
38.86,-1.787268
38.94,-0.949653
39.02,0.055738
39.11,1.180608
39.19,2.39572
39.27,3.638796
39.35,4.862806
39.43,6.010554
39.51,6.967646
39.59,7.768401
39.67,8.307321
39.75,8.672109
39.83,8.754727
39.92,8.553903
40,8.15861
40.08,7.515464
40.16,6.670223
40.24,5.648308
40.32,4.504374
40.4,3.23969
40.49,1.955941
40.57,0.737015
40.65,-0.400564
40.73,-1.360199
40.81,-2.09613
40.89,-2.574041
40.97,-2.804099
41.05,-2.763425
41.13,-2.471086
41.21,-1.951232
41.29,-1.210216
41.38,-0.253124
41.46,0.860306
41.54,2.070335
41.62,3.345186
41.7,4.602244
41.78,5.747449
41.86,6.752841
41.94,7.567577
42.02,8.138273
42.1,8.506874
42.18,8.633978
42.27,8.546276
42.35,8.252666
42.43,7.693409
42.51,6.933328
42.6,5.87074
42.68,4.710282
42.76,3.500253
42.84,2.193625
42.92,0.986139
43,-0.157796
43.08,-1.127599
43.16,-1.90039
43.24,-2.459647
43.32,-2.760883
43.4,-2.820622
43.49,-2.602003
43.57,-2.10884
43.65,-1.39833
43.73,-0.452677
43.81,0.63279
43.89,1.83265
43.97,3.094792
44.05,4.34041
44.13,5.502139
44.21,6.517699
44.3,7.378192
44.38,8.039132
44.46,8.476369
44.54,8.702614
44.62,8.689904
44.7,8.358163
44.78,7.872626
44.86,7.123984
44.94,6.173247
45.02,5.12464
45.1,3.941303
45.19,2.694415
45.26,1.511078
45.35,0.336638
