I[A],Vh[mV]
-2.8907,-0.051
-2.499,-0.045
-2.338,-0.042
-1.802,-0.035
-1.25,-0.026
-0.8,-0.02
-0.434,-0.015
-0.0799,-0.01
0,-0.009
0.0767,-0.008
0.268,-0.005
0.641,0
1.039,0.005
1.453,0.012
1.903,0.018
2.467,0.026
2.912,0.033
