B[mT],Vh[mV]
0.14,0
-362,-0.037
-312,-0.031
-244.9,-0.026
-198.9,-0.022
-120.2,-0.016
-80.6,-0.013
-42.7,-0.01
-12.93,-0.008
35.8,-0.003
103.4,0.002
126.2,0.004
185.8,0.008
218.3,0.011
283.3,0.016
310,0.018
343,0.02
