I[A],Vh[mV]
0.046916,0.003
0.20826,0.004
0.39243,0.006
0.689,0.008
1,0.011
1.487,0.016
1.969,0.021
2.166,0.024
2.552,0.029
2.917,0.033
-2.907,-0.026
-2.344,-0.021
-1.972,-0.017
-1.283,-0.01
-0.954,-0.006
-0.329,0
-0.0246,0.003
