B[mT],Vh[mV]
0,0
-361,-0.077
-251,-0.058
-192,-0.048
-125,-0.033
-79.2,-0.022
-29,-0.006
-5,0
37,0.012
96.9,0.028
145,0.04
200,0.052
242,0.063
285,0.07
320,0.077
369,0.086
