R [Ohm], Ud [V], Ir [mA]
5000, 8.56, 1.73
4500, 8.47, 1.9
4000, 8.34, 2.11
3500, 8.16, 2.36
3000, 7.92, 2.66
2800, 7.79, 2.81
2500, 7.59, 3.07
2200, 7.33, 3.37
2000, 7.15, 3.62
1800, 6.92, 3.9
1500, 6.48, 4.37
1200, 5.89, 4.95
1000, 5.328, 5.39
800, 4.541, 5.74
600, 3.534, 5.96
400, 2.393, 6.04
300, 1.8, 6.05
500, 2.957, 5.98
1300, 6.1, 4.74
1400, 6.32, 4.56
