Theta [deg], Igamma [mA]
0, 443
5, 439
10, 434
15, 423
20, 410
25, 396
30, 377
35, 356
40, 334
45, 308
50, 279
55, 249
60, 217
65, 183
70, 153
75, 125
80, 100
85, 79
90, 63
