R [Ohm], Ud [V], Ir [mA]
25, 0.506, 20
20, 0.502, 25
15, 0.496, 32
10, 0.485, 47
5, 0.452, 87
3, 0.412, 130
2, 0.373, 171
1, 0.286, 243
1.5, 0.33, 206
1.25, 0.343, 196
0.75, 0.274, 251
0.5, 0.211, 278
