R [Ohm], Ud [V], Ir [mA]
40, 0.474, 12
30, 0.467, 15
25, 0.462, 18
20, 0.455, 22
15, 0.443, 29
10, 0.42, 41
8, 0.403, 49
7, 0.391, 54
6, 0.381, 59
5, 0.358, 69
4, 0.333, 80
3, 0.298, 94
2, 0.25, 112
1, 0.166, 137
