R [Ohm], Ud [V], Ir [mA]
15, 0.405, 26
10, 0.39, 38
8, 0.378, 46
6, 0.361, 57
4, 0.329, 79
3, 0.304, 96
2, 0.264, 120
1, 0.194, 164
1.5, 0.232, 144
1.25, 0.267, 123
0.75, 0.19, 168
0.5, 0.167, 183
0.25, 0.187, 172
