R [Ohm], Ud [V], Ir [mA]
200, 0.369, 1.85
80, 0.363, 4.48
70, 0.362, 5.07
50, 0.358, 6.94
40, 0.353, 8.49
25, 0.344, 12.88
22, 0.342, 14.33
20, 0.339, 15.37
18, 0.335, 16.84
15, 0.329, 19.46
12, 0.321, 22.84
10, 0.299, 29
9, 0.292, 31
8, 0.284, 34
7, 0.275, 38
6, 0.271, 39
5, 0.248, 48
4, 0.229, 54
3, 0.201, 63
2, 0.166, 74
1.5, 0.135, 83
1.25, 0.139, 83
1, 0.11, 89
0.75, 0.134, 84
0.5, 0.119, 87
