Huile,Temperature [C],Temps 1 [s],Temps 2 [s]
1,76,1.87,3.33
1,76,1.52,3.13
1,75,1.59,3.19
1,74,1.80,3.40
1,72,1.64,3.46
1,70,1.48,3.18
1,69,1.89,3.54
1,68,1.77,3.53
1,66,1.47,3.29
1,65,1.87,3.77
1,63,1.95,3.81
1,62,1.87,3.89
1,61,1.97,3.91
1,59,2.12,4.17
1,58,2.07,4.27
1,57,1.86,4.01
1,55,1.81,3.97
1,53,2.17,4.39
1,53,2.23,4.52
1,52,2.28,4.57
1,51,2.37,4.88
1,50,2.35,4.69
1,49,2.41,4.87
1,48,2.35,4.72
1,47,2.49,4.93
1,45,2.51,5.17
1,44,2.27,4.9
1,43,2.78,5.53
1,42,2.79,5.42
1,41,2.99,5.69
1,40,2.5,5.55
1,39,2.74,5.78
1,38,3.01,5.99
1,36,3.05,6.37
1,35,2.59,5.79
1,34,3.49,6.94
1,33,3.44,6.88
1,32,3.21,6.64
1,31,3.3,7.01
1,30,3.1,6.78
