Huile,Temperature [C],Temps 1 [s],Temps 2 [s]
1,22,3.04,7.44
1,24,3.75,8.18
1,26,4.01,7.77
1,28,3.58,7.34
1,29,3.71,7.13
1,31,3.27,6.28
1,34,3.08,6.01
1,37,2.76,5.49
1,39,2.58,5.13
1,41,2.47,4.76
1,43,2.37,4.63
1,46,1.97,4.27
1,47,2.27,4.49
1,49,1.97,4.14
1,52,1.93,3.91
1,54,2.20,4.14
1,56,2.39,4.05
1,56,2.03,3.69
1,58,2.20,4.06
1,60,1.89,3.62
1,62,1.87,3.54
1,64,1.80,3.33
1,66,1.86,3.61
1,69,1.93,3.34
1,71,1.77,3.53
1,72,1.78,3.36
1,74,1.93,3.36
