Huile,Temperature [C],Temps 1 [s],Temps 2 [s]
2,21,24.17,46.44
2,22,24.35,44.60
2,23,19.46,37.52
2,24,17.69,32.67
2,27,17.40,31.67
2,29,14.07,26.47
2,32,12.77,23.84
2,34,11.53,22.07
2,35,11.31,21.37
2,37,9.16,17.86
2,40,8.89,17.62
2,41,7.77,15.29
2,44,7.45,14.00
2,46,6.03,12.20
2,48,6.43,12.31
2,50,6.45,11.87
2,51,6.03,11.05
2,53,5.81,10.45
2,55,5.69,9.98
2,57,5.24,9.44
2,59,4.90,8.71
2,60,4.77,8.58
2,61,4.26,7.95
2,66,4.37,7.94
2,67,4.10,7.27
2,69,4.04,7.07
2,71,3.57,6.68
